timestamp,blaine_pv_read,blaine_target_read,clinker_pv_read,clinker_%_pv_read,clinker_%_sp_read,clinker_grade_b_pv_read,clinker_grade_b_%_pv_read,clinker_grade_b_%_sp_read,dust_pv_read,electronic_ear_pv_read,elevator_load_a_pv_read,elevator_load_kw_pv_read,fls_dust_pv_read,fls_dust_%_pv_read,fls_dust_%_sp_read,fresh_feed_pv_read,fresh_feed_sp_read,grinding_aid_tda_pv_read,grinding_aid_tipa_pv_read,gypsum_pv_read,gypsum_%_pv_read,gypsum_%_sp_read,limestone_pv_read,limestone_%_pv_read,limestone_%_sp_read,livebit_plc_pv_read,mill_exit_pressure_pv_read,mill_fan_load_a_pv_read,mill_fan_load_a_sp_read,mill_fan_damper_pv_read,mill_fan_damper_high_limit_read,mill_fan_damper_low_limit_read,mill_fan_damper_is_saturated_hl_read,mill_fan_damper_is_saturated_ll_read,mill_kw_pv_read,rea_gypsum_pv_read,rea_gypsum_%_pv_read,rea_gypsum_%_sp_read,recipe_type_pv_read,rejects_pv_read,residue_pv_read,residue_target_read,rto_ready_pv_read,rto_selected_pv_read,separator_exit_temperature_pv_read,separator_fan_damper_pv_read,separator_fan_damper_high_limit_read,separator_fan_damper_low_limit_read,separator_fan_damper_is_saturated_hl_read,separator_fan_damper_is_saturated_ll_read,separator_fan_load_a_pv_read,separator_fan_load_a_sp_read,separator_load_a_pv_read,separator_speed_pv_read,separator_speed_sp_read,total_feed_pv_read,water_flow_pv_read
2025-02-01 00:10:00,4960.0,5200.0,51.72526,79.42529,63.0,0.0,0.0,30.5,0.1023331,102.2461,92.1875,0.0,2.326385,3.572216,0.0,65.12442,65.49289,433.0501,0.0,2.797308,4.29533,3.5,9.064851,13.91928,3.0,11.0,-35.18537,135.5035,135.2648,98.75578,65.0,45.0,1,0,3716.0,0.01898776,0.0,0.0,16.0,199.3634,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,515.9144,515.9144,302.7293,1392.373,1400,264.4879,10.85107
2025-02-01 00:10:30,4960.0,5200.0,51.79688,78.05782,63.0,0.0,0.0,30.5,0.1023331,102.181,89.60503,0.0,3.402774,5.127975,0.0,66.35706,65.49289,433.0501,0.0,2.810329,4.235162,3.5,9.135381,13.76701,3.0,35.0,-35.12027,136.9792,135.6337,98.75578,65.0,45.0,1,0,3734.0,0.01898776,0.0,0.0,16.0,198.3507,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,514.4676,514.4676,297.4655,1392.712,1400,264.7078,10.85107
2025-02-01 00:11:00,4960.0,5200.0,52.02474,78.88969,63.0,0.0,0.0,30.5,0.1023331,102.4052,86.4945,0.0,2.743052,4.159531,0.0,65.94618,65.49289,433.0501,0.0,2.808159,4.258258,3.5,9.136285,13.85415,3.0,17.0,-35.21792,131.5972,134.7873,98.75578,65.0,45.0,1,0,3738.0,0.01898776,0.0,0.0,16.0,197.338,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,516.2037,516.2037,304.7345,1393.458,1400,263.2841,10.85107
2025-02-01 00:11:30,4960.0,5200.0,51.77734,79.0068,63.0,0.0,0.0,30.5,0.1023331,102.521,90.89988,0.0,2.725691,4.159119,0.0,65.5353,65.49289,433.0501,0.0,2.808702,4.285784,3.5,9.114583,13.9079,3.0,41.0,-35.16909,133.8542,134.4835,98.75578,65.0,45.0,1,0,3742.0,0.01898776,0.0,0.0,16.0,200.5208,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,515.0463,515.0463,299.2201,1392.847,1400,266.0561,10.85107
2025-02-01 00:12:00,4960.0,5200.0,51.76432,78.74009,63.0,0.0,0.0,30.5,0.1023331,102.0761,93.36661,0.0,2.777774,4.225346,0.0,65.74075,65.49289,433.0501,0.0,2.801648,4.261662,3.5,9.115487,13.86581,3.0,23.0,-35.33186,133.1597,135.395,98.75578,65.0,45.0,1,0,3736.0,0.01898776,0.0,0.0,16.0,200.8102,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,514.757,514.757,321.2778,1390.609,1400,266.5509,10.85107
2025-02-01 00:12:30,4960.0,5200.0,52.00521,78.86007,63.0,0.0,0.0,30.5,0.1023331,102.0544,88.26678,0.0,2.70833,4.106879,0.0,65.94618,65.49289,433.0501,0.0,2.808702,4.259081,3.5,9.129955,13.84455,3.0,5.0,-35.86898,133.4201,134.7656,98.75578,65.0,45.0,1,0,3703.0,0.01898776,0.0,0.0,16.0,206.4525,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,514.1782,514.1782,314.0088,1390.338,1400,272.3987,10.85107
2025-02-01 00:13:00,4960.0,5200.0,51.93359,78.75148,63.0,0.0,0.0,30.5,0.1023331,102.1014,87.26852,0.0,2.829857,4.291162,0.0,65.94618,65.49289,433.0501,0.0,2.802191,4.249209,3.5,9.150752,13.87609,3.0,29.0,-35.39696,134.6354,135.3516,98.75578,65.0,45.0,1,0,3722.0,0.01898776,0.0,0.0,16.0,204.4271,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,514.1782,514.1782,306.7398,1389.999,1400,270.3733,10.85107
2025-02-01 00:13:30,4960.0,5200.0,51.92057,78.48723,63.0,0.0,0.0,30.5,0.1023331,101.9929,92.59259,0.0,3.003469,4.54028,0.0,66.15162,65.49289,433.0501,0.0,2.801648,4.235192,3.5,9.110967,13.77286,3.0,11.0,-35.5109,134.1146,134.8416,98.75578,65.0,45.0,1,0,3710.0,0.01898776,0.0,0.0,16.0,199.2188,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,514.1782,514.1782,296.9642,1394.0,1400,265.3704,10.85107
2025-02-01 00:14:00,4960.0,5200.0,51.84896,78.37897,63.0,0.0,0.0,30.5,0.1023331,101.9821,91.88368,0.0,3.142357,4.750235,0.0,66.15162,65.49289,434.1759,0.0,2.810329,4.248315,3.5,9.110967,13.77286,3.0,35.0,-35.65738,133.5069,134.592,98.75578,65.0,45.0,1,0,3703.0,0.01898776,0.0,0.0,16.0,204.5718,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,514.4676,514.4676,312.2542,1391.22,1400,270.7234,10.85107
2025-02-01 00:14:30,4960.0,5200.0,51.69271,78.3862,63.0,0.0,0.0,30.5,0.1023331,102.1267,89.6412,0.0,3.263885,4.949317,0.0,65.94618,65.49289,434.1759,0.0,2.816297,4.270598,3.5,9.120913,13.83084,3.0,17.0,-35.33186,136.1979,135.5686,98.75578,65.0,45.0,1,0,3732.0,0.01898776,0.0,0.0,16.0,205.8738,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,513.5995,513.5995,304.9852,1390.949,1400,272.2541,10.85107
